observed;actual;practitioner;date
0;2;9;01/01/2012
39;134;9;01/02/2012
51;118;9;01/03/2012
37;75;9;01/04/2012
0;86;9;01/05/2012
0;0;9;01/06/2012
64;64;9;01/07/2012
0;0;9;01/08/2012
41;73;9;01/09/2012
30;100;9;01/10/2012
28;60;9;01/11/2012
2;18;9;01/12/2012
2;6;9;01/13/2012
58;59;9;01/14/2012
0;0;9;01/15/2012
30;52;9;01/16/2012
24;37;9;01/17/2012
20;23;9;01/18/2012
2;2;9;01/19/2012
1;1;9;01/20/2012
44;44;9;01/21/2012
0;0;9;01/22/2012
21;148;9;01/23/2012
34;131;9;01/24/2012
23;61;9;01/25/2012
2;23;9;01/26/2012
0;59;9;01/27/2012
74;67;9;01/28/2012
0;0;9;01/29/2012
19;24;9;01/30/2012
18;32;9;01/31/2012
138;122;9;02/01/2012
0;11;9;02/02/2012
15;34;9;02/03/2012
32;35;9;02/04/2012
0;0;9;02/05/2012
58;68;9;02/06/2012
4;10;9;02/07/2012
21;40;9;02/08/2012
0;7;9;02/09/2012
23;22;9;02/10/2012
58;59;9;02/11/2012
0;0;9;02/12/2012
40;33;9;02/13/2012
30;31;9;02/14/2012
11;13;9;02/15/2012
0;7;9;02/16/2012
0;7;9;02/17/2012
52;48;9;02/18/2012
0;0;9;02/19/2012
40;46;9;02/20/2012
20;37;9;02/21/2012
65;91;9;02/22/2012
0;11;9;02/23/2012
0;28;9;02/24/2012
0;0;9;02/25/2012
0;0;9;02/26/2012
2;3;9;02/27/2012
0;0;9;02/28/2012
0;17;9;02/29/2012
0;57;9;03/01/2012
3;4;9;03/02/2012
0;2;9;03/03/2012
0;0;9;03/04/2012
0;20;9;03/05/2012
0;18;9;03/06/2012
0;1;9;03/07/2012
0;1;9;03/08/2012
0;19;9;03/09/2012
0;0;9;03/10/2012
0;0;9;03/11/2012
49;81;9;03/12/2012
20;47;9;03/13/2012
17;16;9;03/14/2012
0;0;9;03/15/2012
2;2;9;03/16/2012
41;44;9;03/17/2012
0;0;9;03/18/2012
23;50;9;03/19/2012
29;33;9;03/20/2012
47;44;9;03/21/2012
0;2;9;03/22/2012
58;0;9;03/23/2012
49;43;9;03/24/2012
0;0;9;03/25/2012
21;24;9;03/26/2012
12;14;9;03/27/2012
15;17;9;03/28/2012
8;17;9;03/29/2012
0;10;9;03/30/2012
32;0;9;03/31/2012
